number,thumb,full
0473,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s3881050--ed4fee7ae8fff631ea9f826d3862e86dbecd3cc41120e8c1710fbee0488d99e9.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s3881050--ed4fee7ae8fff631ea9f826d3862e86dbecd3cc41120e8c1710fbee0488d99e9.jpeg/full/3500,/0/default.jpg"
0474,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s3688819--f8237cdd80f7209981c384e8814f951860dbaac0b2293b4fe49d9af88684cd7b.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s3688819--f8237cdd80f7209981c384e8814f951860dbaac0b2293b4fe49d9af88684cd7b.jpeg/full/3500,/0/default.jpg"
0475,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s6935490--9aebe5f47ca9fd9d528768f495468ab22cddc4266beab569d02472c1d4666537.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s6935490--9aebe5f47ca9fd9d528768f495468ab22cddc4266beab569d02472c1d4666537.jpeg/full/3500,/0/default.jpg"
0476,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s6553218--898f9575030a91ea437faab6bd89f727f9b8da9ed0255d16be26b5de0cddbaa7.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s6553218--898f9575030a91ea437faab6bd89f727f9b8da9ed0255d16be26b5de0cddbaa7.jpeg/full/3500,/0/default.jpg"
0477,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7422754--342fe68b00efddf7662e8c1300b3ffe660bf594d86cebcacc0e646cc15c4205c.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7422754--342fe68b00efddf7662e8c1300b3ffe660bf594d86cebcacc0e646cc15c4205c.jpeg/full/3500,/0/default.jpg"
0478,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7370077--6d6534f8852b056269695450057bb4ef7ec05cffc221090f22e86b7d1a3249f5.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7370077--6d6534f8852b056269695450057bb4ef7ec05cffc221090f22e86b7d1a3249f5.jpeg/full/3500,/0/default.jpg"
0479,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s6427029--cce28c261ad37775c5833e60fbb15201b096a41df6142ea26252ebd6b5a8d960.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s6427029--cce28c261ad37775c5833e60fbb15201b096a41df6142ea26252ebd6b5a8d960.jpeg/full/3500,/0/default.jpg"
0480,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s6529871--e3e835331ff9ecf0d188dfb53d774bc23fbb0279bead115abda743dc85a66fa3.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s6529871--e3e835331ff9ecf0d188dfb53d774bc23fbb0279bead115abda743dc85a66fa3.jpeg/full/3500,/0/default.jpg"
0481,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s6653151--33d0b02280703ee285cbdcc6cd8a92fc408a8133318076f08928a5530548303c.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s6653151--33d0b02280703ee285cbdcc6cd8a92fc408a8133318076f08928a5530548303c.jpeg/full/3500,/0/default.jpg"
0482,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s6485320--d796698892b742158b0e0912158567f9c99ac17e4733f7bb73fd087c0152d1e3.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s6485320--d796698892b742158b0e0912158567f9c99ac17e4733f7bb73fd087c0152d1e3.jpeg/full/3500,/0/default.jpg"
0483,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s6624404--1e6bdff3c178349dfae31b859f87615a60d51adce79bd4fd049480661f1e092d.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s6624404--1e6bdff3c178349dfae31b859f87615a60d51adce79bd4fd049480661f1e092d.jpeg/full/3500,/0/default.jpg"
